"1870";"DPA";"NACIONAL / ANGOLA (DPA)";"1";"/293/2/";"/293/"
"251949";"2086";"ESCOLA MISSIONÁRIA DOM PAULINO MADECA";"64";"/293/2/1/1/1/31/";"/293/2/1/1/1/"
"251950";"1";"MESA 1";"128";"/293/2/1/1/1/31/1/";"/293/2/1/1/1/31/"
"251951";"2";"MESA 2";"128";"/293/2/1/1/1/31/2/";"/293/2/1/1/1/31/"
"251952";"3";"MESA 3";"128";"/293/2/1/1/1/31/3/";"/293/2/1/1/1/31/"
"251953";"4";"MESA 4";"128";"/293/2/1/1/1/31/4/";"/293/2/1/1/1/31/"
"251954";"5";"MESA 5";"128";"/293/2/1/1/1/31/5/";"/293/2/1/1/1/31/"
"251957";"2087";"CENTRO INFANTIL SANTA TERESIANA";"64";"/293/2/1/1/1/32/";"/293/2/1/1/1/"
"251958";"1";"MESA 1";"128";"/293/2/1/1/1/32/1/";"/293/2/1/1/1/32/"
"251959";"2";"MESA 2";"128";"/293/2/1/1/1/32/2/";"/293/2/1/1/1/32/"
"251960";"3";"MESA 3";"128";"/293/2/1/1/1/32/3/";"/293/2/1/1/1/32/"
"690545";"4";"MESA 4";"128";"/293/2/1/1/1/32/4/";"/293/2/1/1/1/32/"
"251961";"2088";"CENTRO INFANTIL SANTA TERESIANA (2)";"64";"/293/2/1/1/1/33/";"/293/2/1/1/1/"
"251962";"1";"MESA 1";"128";"/293/2/1/1/1/33/1/";"/293/2/1/1/1/33/"
"251963";"2";"MESA 2";"128";"/293/2/1/1/1/33/2/";"/293/2/1/1/1/33/"
"690546";"3";"MESA 3";"128";"/293/2/1/1/1/33/3/";"/293/2/1/1/1/33/"
"690547";"4";"MESA 4";"128";"/293/2/1/1/1/33/4/";"/293/2/1/1/1/33/"
"251964";"2089";"ESCOLA COMANDANTE GIKA";"64";"/293/2/1/1/1/34/";"/293/2/1/1/1/"
"251965";"1";"MESA 1";"128";"/293/2/1/1/1/34/1/";"/293/2/1/1/1/34/"
"251966";"2";"MESA 2";"128";"/293/2/1/1/1/34/2/";"/293/2/1/1/1/34/"
"251967";"3";"MESA 3";"128";"/293/2/1/1/1/34/3/";"/293/2/1/1/1/34/"
"251968";"4";"MESA 4";"128";"/293/2/1/1/1/34/4/";"/293/2/1/1/1/34/"
"251969";"5";"MESA 5";"128";"/293/2/1/1/1/34/5/";"/293/2/1/1/1/34/"
"251972";"2090";"ESCOLA COMANDANTE GIKA (2)";"64";"/293/2/1/1/1/35/";"/293/2/1/1/1/"
"251973";"1";"MESA 1";"128";"/293/2/1/1/1/35/1/";"/293/2/1/1/1/35/"
"251974";"2";"MESA 2";"128";"/293/2/1/1/1/35/2/";"/293/2/1/1/1/35/"
"690548";"3";"MESA 3";"128";"/293/2/1/1/1/35/3/";"/293/2/1/1/1/35/"
"690549";"4";"MESA 4";"128";"/293/2/1/1/1/35/4/";"/293/2/1/1/1/35/"
"690550";"5";"MESA 5";"128";"/293/2/1/1/1/35/5/";"/293/2/1/1/1/35/"
"251975";"2091";"ESCOLA PRIMÁRIA COMANDANTE DANGERAUX";"64";"/293/2/1/1/1/36/";"/293/2/1/1/1/"
"251976";"1";"MESA 1";"128";"/293/2/1/1/1/36/1/";"/293/2/1/1/1/36/"
